Event	ID	Name			Wwise Object Path	Notes
	506473607	Stop_Amb_Dungeon			\Default Work Unit\AMBIANCE_Event\Stop_Amb_Dungeon	
	761535791	Play_Amb_Blizzard			\Default Work Unit\AMBIANCE_Event\Play_Amb_Blizzard	
	1551221296	Stop_Amb_Cave			\Default Work Unit\AMBIANCE_Event\Stop_Amb_Cave	
	1610211621	Stop_Amb_Blizzard			\Default Work Unit\AMBIANCE_Event\Stop_Amb_Blizzard	
	1673307701	Play_Amb_Dungeon			\Default Work Unit\AMBIANCE_Event\Play_Amb_Dungeon	
	2314402090	Play_Amb_Cave			\Default Work Unit\AMBIANCE_Event\Play_Amb_Cave	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	17001860	RFX_Blizzard_Rock-003	D:\GitHub\AJV_VideoGame3is\project_3isWwise\.cache\Windows\SFX\RFX_Blizzard_Rock-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMBIANCE\Outdoor\Blizzard\RFX_Blizzard\RFX_Blizz_Rock\RFX_Blizzard_Rock-003		248144
	22046155	AMB_Out_Cave_RFX_DustIce_1	D:\GitHub\AJV_VideoGame3is\project_3isWwise\.cache\Windows\SFX\AMB_Out_Cave_RFX_DustIce_1_B8059BC8.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMBIANCE\Outdoor\Cave\Cave\RFX_Cave\RFX_DustIce\AMB_Out_Cave_RFX_DustIce_1		2224172
	58045828	AMB_In_RFX_WoodenCreak_2	D:\GitHub\AJV_VideoGame3is\project_3isWwise\.cache\Windows\SFX\AMB_In_RFX_WoodenCreak_2_746ACA08.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMBIANCE\Indoor\Dungeon\RFX_Dungeon\RFX_WoodenCreak\AMB_In_RFX_WoodenCreak_2		475920
	59310520	AMB_In_RFX_WoodenCreak_3	D:\GitHub\AJV_VideoGame3is\project_3isWwise\.cache\Windows\SFX\AMB_In_RFX_WoodenCreak_3_BD21644A.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMBIANCE\Indoor\Dungeon\RFX_Dungeon\RFX_WoodenCreak\AMB_In_RFX_WoodenCreak_3		371800
	62492842	AMB_Out_Cave_RFX_IceStress_DRY_5	D:\GitHub\AJV_VideoGame3is\project_3isWwise\.cache\Windows\SFX\AMB_Out_Cave_RFX_IceStress_DRY_5_5B65F4B6.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMBIANCE\Outdoor\Cave\Cave\RFX_Cave\RFX_Icestress\AMB_Out_Cave_RFX_IceStress_DRY_5		841708
	84491838	AMB_In_RFX_MetalSqueak_4	D:\GitHub\AJV_VideoGame3is\project_3isWwise\.cache\Windows\SFX\AMB_In_RFX_MetalSqueak_4_E5D39B00.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMBIANCE\Indoor\Dungeon\RFX_Dungeon\RFX_MetalSqueak\AMB_In_RFX_MetalSqueak_4		164148
	97629492	AMB_In_RFX_MetalCreak_4	D:\GitHub\AJV_VideoGame3is\project_3isWwise\.cache\Windows\SFX\AMB_In_RFX_MetalCreak_4_9164BDCF.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMBIANCE\Indoor\Dungeon\RFX_Dungeon\RFX_MetalCreak\AMB_In_RFX_MetalCreak_4		95070
	117444903	AMB_Out_Cave_RFX_IceStress_DRY_4	D:\GitHub\AJV_VideoGame3is\project_3isWwise\.cache\Windows\SFX\AMB_Out_Cave_RFX_IceStress_DRY_4_1708F952.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMBIANCE\Outdoor\Cave\Cave\RFX_Cave\RFX_Icestress\AMB_Out_Cave_RFX_IceStress_DRY_4		402476
	134457288	AMB_Out_Cave_RFX_DustIce_2	D:\GitHub\AJV_VideoGame3is\project_3isWwise\.cache\Windows\SFX\AMB_Out_Cave_RFX_DustIce_2_02D7C25B.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMBIANCE\Outdoor\Cave\Cave\RFX_Cave\RFX_DustIce\AMB_Out_Cave_RFX_DustIce_2		1739244
	183592446	RFX_Blizzard_Snow-002	D:\GitHub\AJV_VideoGame3is\project_3isWwise\.cache\Windows\SFX\RFX_Blizzard_Snow-002_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMBIANCE\Outdoor\Blizzard\RFX_Blizzard\RFX_Blizz_Snow\RFX_Blizzard_Snow-002		288064
	189026729	AMB_In_RFX_Rats_1	D:\GitHub\AJV_VideoGame3is\project_3isWwise\.cache\Windows\SFX\AMB_In_RFX_Rats_1_10A797B3.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMBIANCE\Indoor\Dungeon\RFX_Dungeon\RFX_Rats\AMB_In_RFX_Rats_1		192450
	278620022	RFX_Blizzard_Snow-004	D:\GitHub\AJV_VideoGame3is\project_3isWwise\.cache\Windows\SFX\RFX_Blizzard_Snow-004_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMBIANCE\Outdoor\Blizzard\RFX_Blizzard\RFX_Blizz_Snow\RFX_Blizzard_Snow-004		240064
